col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
51,,36,67,63,3,5,85,79,
88,46,15,77,55,73,,,20,31
,84,14,93,6,61,,21,78,55
93,47,,45,43,93,20,41,84,1
74,41,58,89,,95,99,63,58,23
98,35,79,95,60,94,5,42,62,7
18,56,61,57,83,68,79,36,44,96
,14,100,20,75,53,39,,91,41
75,92,29,100,2,44,14,6,87,16
31,15,42,10,61,65,,59,42,43
32,66,14,69,,44,40,58,5,21
4,13,83,87,,48,97,23,49,87
,,,46,23,41,23,,,43
42,,59,67,33,41,39,83,42,79
29,42,56,80,94,50,44,48,22,82
67,10,89,80,75,,62,55,91,97
78,85,32,,40,60,9,61,,3
81,,79,66,3,,98,81,42,79
9,45,5,27,98,32,4,56,25,6
59,77,23,,67,2,28,,41,71
49,,40,27,9,94,46,,57,20
96,71,20,8,50,7,22,4,91,22
67,45,6,79,45,67,8,78,6,86
94,19,13,,,64,61,30,40,7
,91,82,54,35,56,,56,95,67
53,98,49,94,92,76,,51,76,48
42,53,76,,93,90,50,1,53,47
17,,62,26,91,68,84,60,80,42
49,67,36,,14,51,29,29,73,23
98,21,71,,3,11,96,79,8,4
70,86,35,20,83,97,48,72,99,6
23,91,,90,13,51,82,35,66,88
72,72,70,71,61,61,88,,33,74
76,60,4,,88,94,64,26,34,25
19,,100,8,50,43,59,87,11,28
32,16,23,,82,53,83,71,28,7
100,35,55,32,98,,69,71,35,31
23,67,2,9,45,85,4,42,11,15
1,56,88,10,43,60,63,11,,
,99,28,19,34,,98,30,65,85
,72,96,68,16,57,53,82,53,77
25,24,,55,49,56,54,63,53,93
,14,74,85,83,31,45,81,5,50
47,52,44,51,40,52,41,57,13,15
80,5,54,68,,25,6,20,81,71
88,49,44,,50,6,,33,54,41
59,13,27,66,92,85,86,82,91,99
51,9,35,44,69,,55,35,26,66
,22,43,23,58,9,32,84,74,69
19,,56,99,68,39,70,53,9,88
,76,36,,13,17,81,,41,10
63,22,71,5,30,87,36,73,43,21
21,73,19,,19,10,36,57,87,36
32,65,85,23,6,88,60,59,19,10
,62,26,21,22,1,40,,96,39
72,64,28,3,68,80,94,20,88,39
49,81,23,76,49,13,,62,86,48
6,,43,55,78,94,10,18,34,23
72,60,95,,98,88,89,58,100,
85,6,10,9,39,90,1,,9,
42,78,43,1,15,,86,41,56,76
36,76,54,90,46,,100,6,,22
92,14,36,70,63,31,91,14,34,25
85,94,80,94,24,44,7,34,3,14
43,54,87,57,60,24,53,78,36,94
87,,24,27,12,66,79,5,79,7
38,96,29,59,,54,,,,2
18,,74,10,,11,61,6,1,16
75,79,34,74,30,34,58,24,22,70
57,91,60,19,,6,32,80,6,76
56,64,27,70,26,84,63,35,61,26
14,31,37,2,1,52,11,80,18,59
14,,96,75,99,53,66,42,83,38
10,58,75,21,,95,54,25,72,7
32,86,59,46,19,,10,52,22,11
53,85,8,5,38,3,37,7,10,98
79,64,,14,,92,67,67,96,79
81,,83,,,91,55,39,41,
50,19,22,7,77,55,48,98,58,10
35,,40,,35,18,10,27,19,87
74,71,,9,64,78,,17,2,
84,,67,73,63,91,94,37,29,52
8,8,21,35,57,96,91,,83,60
97,67,,78,100,58,91,66,,50
9,,45,72,57,69,,25,30,99
21,23,58,32,85,62,97,47,14,21
48,47,63,17,5,80,73,82,22,45
83,41,14,2,50,,85,60,36,34
32,14,34,95,3,39,82,60,83,
,32,41,39,83,99,2,69,50,39
10,16,4,99,28,,33,45,90,62
61,83,39,78,80,32,62,75,60,95
60,,18,57,56,29,7,73,24,81
82,,32,50,16,45,32,62,80,56
44,25,44,30,75,23,31,48,21,85
74,,70,97,60,,16,20,68,71
8,,83,91,,5,4,61,71,64
57,15,52,29,82,44,5,26,98,48
47,43,67,26,88,39,33,68,10,10
32,61,39,,,71,57,53,48,88
91,20,99,9,80,2,65,21,90,93
56,67,58,83,51,39,91,18,17,15
,72,57,19,52,71,,93,,83
18,86,86,99,34,39,76,52,9,14
18,,2,62,89,55,3,42,,55
62,95,36,60,,57,52,74,74,99
,6,92,28,77,,68,26,99,80
34,14,9,44,9,41,99,14,33,47
45,,66,8,89,63,52,26,57,44
80,41,58,8,36,5,16,60,8,13
84,54,28,79,,87,40,44,,65
43,56,27,37,59,58,8,52,79,83
15,59,32,53,38,89,37,27,7,82
46,57,10,75,26,42,24,12,56,16
3,97,68,94,67,60,1,14,23,71
64,,69,47,55,24,66,80,5,37
84,57,63,69,58,39,39,100,14,51
78,3,26,,32,66,49,79,53,1
30,84,,39,21,68,45,89,83,17
73,76,52,58,48,10,73,26,36,82
94,27,12,79,45,72,37,28,37,12
,37,,21,46,49,31,74,40,15
21,54,86,99,87,81,19,83,18,21
92,95,,83,74,49,79,,,26
,65,66,47,27,40,58,76,77,83
73,31,98,13,77,2,99,73,,
,54,61,76,99,31,87,18,57,51
95,98,86,9,59,22,92,53,55,55
29,68,84,5,90,62,90,96,49,72
77,79,58,40,45,36,60,43,3,28
67,100,3,10,15,62,94,37,68,28
39,90,73,62,61,74,69,56,72,58
33,7,47,30,34,52,87,49,20,78
59,69,92,8,46,94,58,79,17,22
78,53,22,,14,77,39,63,36,58
96,41,69,38,17,37,4,53,62,61
39,91,27,40,34,77,84,90,75,6
32,47,38,36,25,99,17,27,59,68
75,95,63,,98,88,92,35,4,60
78,92,64,74,16,86,63,72,71,
80,65,85,79,41,38,60,37,30,81
54,56,92,30,22,,55,3,55,6
84,20,21,,77,18,53,6,,58
74,63,59,15,54,,26,76,18,31
93,89,65,37,1,80,28,7,6,32
29,33,99,95,71,,,75,54,63
1,93,76,31,76,68,23,100,69,89
4,13,75,,36,88,94,30,53,
92,14,12,95,21,75,47,54,85,91
28,99,98,14,55,95,24,53,51,19
5,83,31,42,68,57,36,39,55,11
24,82,54,38,61,18,98,34,60,17
49,59,57,77,29,59,85,87,97,72
78,55,,75,,15,31,4,25,92
37,8,71,94,,12,95,8,34,89
61,66,100,48,,53,88,32,,95
58,24,14,80,54,9,72,26,72,62
82,4,86,82,71,7,20,24,46,92
47,78,22,26,90,48,,48,15,8
14,40,42,65,59,21,78,51,23,57
38,89,96,,77,,41,14,14,82
5,12,44,74,93,,81,35,22,39
98,78,84,55,21,99,16,71,2,8
14,,99,31,65,13,31,69,42,64
49,58,20,95,13,7,7,96,26,65
95,74,3,61,36,16,62,45,98,
52,5,98,91,91,,7,,19,31
76,56,,18,73,43,,37,70,30
42,2,84,53,67,19,39,88,25,68
,15,82,45,88,,98,91,14,44
78,96,1,37,,94,21,10,,62
,37,9,56,85,99,81,12,94,5
85,57,,46,7,74,59,93,8,100
,85,,18,2,20,39,86,27,82
78,60,65,90,25,34,80,61,93,
14,64,91,58,20,96,3,8,5,79
25,80,97,69,24,90,,41,95,99
19,50,22,7,25,,71,54,99,64
,69,67,16,2,80,33,89,68,50
,7,64,53,1,,35,19,55,96
41,29,73,54,83,76,76,65,70,30
14,85,46,34,42,28,,,83,84
92,83,70,,32,95,94,46,27,67
7,,26,,18,100,13,38,44,65
49,83,15,98,64,54,66,23,95,44
12,11,49,85,35,26,,1,5,
52,,6,,25,97,40,2,3,41
84,10,30,86,11,69,63,98,65,33
31,50,6,76,,65,,3,65,76
93,71,88,,82,84,20,53,9,74
38,66,100,63,70,60,74,98,1,84
,33,42,72,31,52,,63,,9
60,8,9,12,52,,59,,51,45
72,36,,3,56,64,43,95,25,3
,36,1,51,,5,,,8,44
35,27,,31,10,22,67,,91,77
100,8,23,82,,93,69,18,,
89,15,76,14,55,75,64,,,90
10,1,38,64,89,33,29,93,22,3
86,78,,73,85,48,98,53,69,51
90,,22,82,70,35,,64,64,40
6,76,,,34,,6,67,11,
63,77,44,64,81,9,74,57,40,45
16,86,55,50,69,85,87,100,9,47
19,29,52,33,23,92,49,45,11,65
47,77,,33,53,55,95,1,75,11
93,93,19,97,43,8,99,55,58,89
76,38,90,96,39,84,51,9,71,76
15,51,,12,62,,19,72,48,62
21,17,2,50,85,89,30,58,71,5
1,74,61,84,72,39,33,50,60,10
19,,52,13,28,15,96,89,22,96
15,55,9,55,44,19,59,43,11,
63,,5,26,85,23,51,82,73,
26,16,27,45,49,90,,57,,53
26,28,93,50,98,29,98,30,50,51
97,32,84,86,19,45,24,78,90,63
99,94,15,11,92,,67,47,41,48
22,47,71,92,3,19,32,18,100,69
14,44,59,64,58,12,100,21,13,44
93,,36,83,28,17,28,46,41,29
73,39,96,83,15,95,97,25,62,81
51,4,37,60,63,7,,29,77,89
77,72,43,54,35,80,42,87,,57
32,67,44,12,19,100,37,58,41,12
51,92,70,11,14,62,28,19,,50
3,94,54,56,,49,4,23,90,11
34,22,92,93,,70,6,51,86,
95,41,,97,27,72,57,39,72,51
90,,49,33,66,,31,92,45,58
69,,84,12,51,72,71,49,96,46
47,,10,92,55,25,49,49,87,41
30,37,48,24,59,64,92,57,47,
66,43,77,74,,9,40,23,13,72
,98,95,,47,24,13,33,81,39
29,25,51,98,51,72,90,45,21,36
26,70,11,78,50,79,49,84,37,24
71,53,51,49,85,3,45,11,54,8
22,80,9,91,43,42,65,80,91,
5,5,9,17,29,74,56,,28,50
3,77,,8,36,51,21,8,36,29
30,29,62,31,99,81,37,37,97,49
4,64,69,37,77,60,14,82,43,19
88,64,46,23,27,9,50,51,,74
88,66,4,64,27,76,,,49,90
18,68,31,5,54,28,82,3,36,7
42,,13,66,,7,84,74,19,68
60,96,49,2,74,56,80,99,37,31
58,29,25,32,90,40,47,57,85,60
76,48,85,33,23,93,54,7,100,56
64,13,8,68,85,77,17,99,,27
80,50,92,21,,2,54,54,49,71
97,84,66,61,29,66,12,10,34,84
15,48,78,81,24,82,93,100,66,
61,72,77,95,93,16,,81,16,
1,70,99,7,5,59,96,54,90,45
94,,77,36,51,78,,74,80,88
,55,84,79,93,59,,51,5,
46,52,56,29,73,45,58,37,100,14
9,,35,65,77,95,93,62,80,93
,25,81,67,92,18,97,81,88,96
41,,22,,67,37,41,62,21,91
58,30,54,53,13,95,,92,33,17
11,47,69,36,37,17,29,25,41,7
91,47,75,,99,6,2,22,41,49
68,27,9,13,94,,12,76,14,
35,99,90,77,53,70,93,53,7,36
26,74,25,29,37,37,95,98,76,42
66,58,87,13,99,36,100,36,51,13
3,,18,95,26,,67,57,96,52
59,,51,61,,94,79,20,26,96
57,89,34,37,2,93,98,42,,26
3,17,21,,1,,25,79,43,44
56,75,51,36,85,74,11,,18,
65,88,72,8,83,30,16,100,2,67
83,,63,74,44,61,77,100,24,99
63,,61,12,12,27,54,20,21,29
100,36,28,56,,99,58,18,,99
85,94,46,29,5,94,64,39,,61
68,7,28,13,13,89,35,40,,6
55,19,10,,6,47,40,98,15,
44,13,98,2,15,5,39,98,100,4
,,96,45,18,75,57,50,83,67
89,76,95,,67,13,64,3,35,54
,22,80,14,88,91,29,16,97,90
,,90,17,36,25,85,24,,84
12,,3,19,24,86,81,3,49,97
36,47,50,1,92,54,48,21,23,21
54,95,,94,27,,22,54,53,57
100,16,34,54,92,78,53,78,40,97
24,62,30,58,58,29,33,51,55,6
78,70,20,4,21,22,,83,56,62
95,16,34,87,5,64,26,25,87,21
7,72,36,14,49,99,26,32,18,
81,,8,,4,,75,18,80,73
3,53,,92,67,,34,24,72,97
32,79,23,80,25,95,26,60,90,91
46,60,58,9,,51,45,27,55,2
1,79,67,25,7,61,82,25,59,11
77,,77,22,54,43,,44,1,32
71,,66,46,20,11,90,12,8,14
73,29,,25,50,28,16,,27,29
23,10,51,34,96,36,94,59,95,29
97,88,41,68,8,23,28,31,8,82
99,69,95,21,41,56,65,4,33,22
67,28,82,7,92,75,84,71,35,60
47,,64,4,36,,36,49,,46
,89,39,95,83,80,43,56,,2
70,5,13,68,87,,70,71,29,99
9,93,,3,,,41,31,5,
98,17,15,5,34,97,50,4,18,21
87,26,83,34,,65,29,,85,91
32,55,27,,10,63,54,94,3,70
7,89,58,84,40,60,35,13,46,40
,77,2,42,5,27,91,88,19,74
75,84,36,59,99,79,51,48,93,96
87,75,59,21,29,15,93,53,99,61
70,1,85,52,40,41,12,70,14,50
98,70,96,48,87,7,93,88,23,19
83,15,64,,65,79,72,5,70,51
11,21,64,69,85,28,78,12,63,79
42,81,83,40,5,57,24,71,100,
2,95,49,,13,30,72,70,40,18
35,74,66,52,74,49,2,76,22,
100,51,68,30,50,70,,61,43,42
69,86,90,2,39,84,39,18,10,75
49,32,4,76,61,25,,16,87,47
65,,42,64,4,,13,89,62,79
62,29,46,11,56,,84,49,91,89
39,62,13,34,54,,88,60,53,58
54,77,79,16,23,37,50,57,75,
,52,67,9,37,19,46,82,12,75
22,95,93,56,47,30,65,59,31,
91,,77,82,67,65,13,74,74,59
88,91,20,75,99,47,68,58,31,41
52,7,17,71,,68,54,23,60,97
48,13,27,84,77,91,8,19,9,29
69,6,62,25,25,,53,45,20,25
91,16,23,42,53,54,57,40,38,1
4,66,71,18,86,34,7,43,18,99
59,7,94,68,21,14,44,91,5,9
84,10,1,60,22,86,,48,100,11
39,22,42,37,21,1,59,10,93,12
22,41,38,55,71,55,34,,,30
95,82,,54,73,16,,98,,12
,61,82,19,15,75,63,94,,17
55,23,18,98,6,86,4,67,97,61
64,,4,78,39,,95,47,72,97
23,72,97,61,85,,,,31,26
24,79,8,,10,,84,97,,
62,99,,50,26,76,60,,84,19
13,,34,97,77,67,97,66,,60
16,41,67,81,14,13,49,,87,54
44,98,7,39,96,14,,65,5,60
34,82,17,67,28,91,20,28,99,16
43,69,42,75,60,26,20,66,55,27
45,42,84,69,,76,39,93,39,92
40,68,,,65,,89,57,,33
65,91,85,96,42,96,43,67,52,68
33,67,27,16,17,,24,46,14,85
1,27,99,57,26,,61,50,66,35
46,42,61,88,92,88,58,71,70,65
54,81,67,74,64,14,4,6,36,57
,15,37,81,95,18,11,30,1,89
,63,81,82,13,93,,36,16,16
78,49,43,17,97,9,1,86,40,85
10,57,72,92,9,64,51,5,27,47
95,47,75,48,7,,37,85,77,52
87,18,,47,15,68,3,89,5,49
31,86,10,,49,100,50,100,55,53
,67,70,93,74,79,1,52,20,
65,94,18,90,54,30,65,81,22,67
58,,1,,40,96,15,5,22,65
83,,95,34,56,26,82,95,41,40
6,100,8,23,,9,37,18,72,62
2,19,54,67,9,54,33,47,78,1
86,66,33,42,99,5,71,70,69,86
58,55,97,78,93,41,5,,68,3
27,38,62,63,75,,43,43,16,32
64,39,57,5,79,72,10,4,85,92
86,56,84,25,47,14,78,16,64,89
80,,36,2,72,,27,,87,43
90,1,,44,,86,15,7,,8
,70,23,41,51,36,53,90,67,62
,39,69,73,55,,15,25,84,36
,10,12,71,17,20,97,26,24,27
,6,35,92,24,70,90,31,46,39
83,83,,66,71,45,85,14,95,7
86,34,41,36,22,62,40,44,56,14
62,91,87,70,,7,79,36,19,42
24,74,50,55,10,65,69,29,64,26
19,83,23,39,8,,25,67,50,27
46,,96,10,73,60,72,12,14,20
61,97,82,80,83,26,22,15,17,16
99,68,52,72,23,98,100,27,86,16
62,8,10,92,19,45,87,96,94,71
39,76,59,55,45,71,51,,28,50
31,97,,69,22,34,72,,83,47
90,65,53,34,61,,,52,74,
85,65,39,48,66,92,82,70,95,
74,76,2,,84,97,21,24,20,64
68,91,47,59,23,39,22,18,19,47
63,69,38,59,83,15,85,76,11,96
71,98,23,82,41,66,53,37,98,37
90,10,71,37,15,5,7,19,54,84
12,,74,22,65,,35,84,44,87
69,51,74,49,16,66,33,,38,47
47,,42,30,79,58,,28,48,33
83,,80,,70,,96,44,49,74
39,4,,52,81,39,62,41,3,12
57,49,5,17,65,3,75,39,47,17
14,68,,95,36,66,,39,92,22
24,67,37,66,57,,82,31,31,31
44,69,92,45,52,63,66,9,54,90
46,92,64,3,43,21,5,27,78,1
87,33,42,45,46,5,4,68,70,29
36,35,86,6,20,73,79,3,35,58
77,29,13,34,91,74,,73,,28
5,22,57,44,2,69,29,1,40,74
20,73,78,74,57,25,89,,43,4
75,,,41,32,76,83,60,15,64
95,24,28,62,70,72,24,,85,
83,22,20,12,91,73,70,90,48,4
23,50,74,100,24,5,55,25,22,
80,97,36,53,76,6,39,98,51,55
53,70,9,21,,98,14,55,,68
96,61,32,70,76,60,25,87,80,43
24,29,43,69,71,4,63,36,26,100
41,2,21,55,86,76,84,16,17,83
20,90,10,46,,20,,87,38,8
,39,2,49,30,13,,72,23,23
17,87,4,,42,74,35,,18,75
84,24,20,61,48,62,68,76,32,99
76,44,82,90,92,75,,57,,64
31,22,2,96,,52,,76,5,50
96,11,80,9,73,94,73,80,60,34
,28,,8,77,58,78,100,74,47
95,60,,97,81,49,3,31,35,96
57,58,97,29,96,44,57,87,35,9
98,46,85,33,31,69,72,14,52,61
8,67,40,68,57,97,50,86,4,34
95,5,42,19,6,73,19,71,46,
37,69,77,86,71,37,59,8,95,85
70,22,20,60,77,25,78,58,55,4
9,90,82,92,67,73,72,36,4,76
86,,11,8,41,46,81,85,60,62
,62,82,81,92,68,33,82,66,63
11,86,28,64,59,68,70,53,63,
86,2,73,20,85,60,94,33,72,53
2,97,52,69,90,49,88,90,29,29
77,6,8,80,43,74,17,19,20,86
28,13,83,51,10,62,47,43,64,18
31,3,40,7,64,,54,,77,
26,,9,78,41,16,,98,70,38
24,21,59,7,62,31,43,11,45,
20,71,54,36,52,47,90,74,55,80
83,52,94,99,54,6,82,37,80,38
24,81,33,,43,59,60,89,14,85
14,,,83,60,98,55,91,82,6
49,66,53,69,35,64,22,35,44,48
36,4,75,37,18,30,21,79,27,19
40,87,67,,25,,84,81,17,100
30,40,45,39,44,89,99,31,43,61
29,45,15,31,96,7,46,62,11,9
77,22,81,46,32,71,84,,84,21
65,64,80,33,99,57,96,80,82,7
18,14,,51,13,91,3,87,18,46
5,,,49,97,30,56,5,96,11
48,30,10,84,3,80,4,28,97,27
39,52,,16,,34,61,95,18,84
,82,60,47,,47,23,46,82,37
6,39,72,74,24,26,32,44,,6
3,98,74,79,34,9,63,79,34,6
14,88,96,80,56,52,62,82,22,88
41,15,9,48,47,24,5,30,3,62
44,87,,19,67,32,63,,67,33
29,49,64,98,9,29,10,69,,61
27,98,73,79,95,63,71,26,84,30
,,33,93,75,17,71,13,,70
79,49,74,85,54,59,13,3,28,39
27,,65,99,84,64,22,25,15,64
86,9,100,22,24,32,99,70,77,
42,3,93,69,67,61,60,33,96,32
74,43,6,6,57,39,13,53,1,63
66,77,98,99,59,20,8,95,60,59
60,79,84,18,20,2,,51,19,71
91,16,34,31,46,91,,48,88,14
48,38,99,95,78,67,7,68,9,52
92,45,66,70,34,26,72,100,19,45
100,7,73,81,31,100,34,14,18,39
5,12,21,13,79,82,33,3,3,14
57,86,,49,67,87,,10,99,46
,81,81,57,95,99,60,53,39,63
41,6,12,25,35,39,88,24,83,40
28,19,13,82,58,83,59,,77,
44,18,2,81,58,33,100,,52,99
28,83,89,72,76,32,,81,28,22
19,35,55,79,47,58,,25,8,23
44,75,87,65,13,62,30,61,73,86
,18,63,70,4,90,86,76,95,14
15,17,84,92,86,38,27,46,,79
97,43,33,55,,64,58,60,61,35
8,,,23,63,76,31,56,62,33
63,11,95,41,28,61,80,1,17,
24,34,,61,18,22,43,35,74,
23,30,12,1,10,7,40,46,,24
17,17,66,49,57,54,93,7,53,37
46,55,76,30,76,20,47,22,78,33
26,,95,9,90,41,38,,28,25
,,51,78,46,31,42,56,66,98
15,76,44,28,,73,43,83,88,36
14,43,88,48,,80,24,6,78,30
,70,,79,62,77,40,82,18,90
71,57,28,80,1,,,14,79,23
10,93,18,100,44,41,53,,42,34
63,93,,53,27,49,8,84,68,35
82,,38,72,37,50,17,44,80,45
,2,,64,100,94,,40,25,
24,75,43,8,81,27,62,60,73,84
44,11,99,43,11,4,30,,96,67
31,54,100,6,18,,67,,52,62
60,60,40,93,52,79,49,31,59,
,5,3,,3,7,57,70,7,26
45,83,47,82,47,17,53,68,45,75
2,27,47,30,74,55,37,12,76,41
83,47,74,97,,98,66,12,70,
56,62,59,77,4,,58,61,4,87
22,95,83,31,,61,16,83,1,65
63,47,74,21,53,53,30,98,44,26
29,54,91,87,,30,,71,52,45
55,47,35,8,96,72,32,41,37,100
95,36,56,47,4,79,,73,33,67
59,79,74,94,,88,89,90,19,90
60,70,51,92,,80,56,77,82,94
14,68,90,84,18,29,81,32,44,75
3,89,78,60,3,39,83,,28,6
84,8,53,55,86,50,1,45,,91
,28,1,94,,76,47,85,66,57
6,29,62,39,98,99,90,35,75,82
77,9,87,,76,91,83,1,23,32
72,87,50,,,81,30,15,19,
21,11,60,82,49,78,62,,88,11
98,84,87,33,,,47,,25,15
89,96,89,,33,,56,61,12,98
82,36,54,88,36,20,1,10,37,46
87,67,82,27,52,90,62,53,25,33
26,90,82,49,40,25,30,7,39,63
18,44,98,61,53,22,77,99,10,29
92,,42,39,53,79,,75,41,42
87,,43,73,45,75,95,35,91,99
,79,90,8,6,71,63,43,91,48
89,,,96,50,38,85,21,,60
32,7,,100,37,10,94,45,46,93
64,77,4,16,13,15,66,21,19,59
59,30,84,99,4,13,,3,12,19
58,37,18,24,32,25,28,12,48,77
21,37,24,55,2,29,,4,52,
76,9,58,64,31,40,31,68,13,80
37,24,,56,44,72,6,50,63,91
29,69,23,,91,93,43,38,99,77
53,62,83,5,23,72,81,8,64,8
65,89,84,,14,,52,6,78,21
9,95,65,20,1,39,17,43,30,7
26,45,26,40,93,11,42,4,53,9
20,79,40,7,35,41,1,2,13,40
32,92,100,26,40,84,16,100,50,50
94,56,94,76,93,4,51,96,81,43
39,25,66,71,81,80,98,84,,40
63,40,41,48,38,33,91,96,62,66
,29,43,92,88,37,,84,42,34
45,67,45,8,,63,50,16,22,
91,59,80,50,54,44,92,67,27,57
75,39,88,35,1,26,34,24,19,84
63,81,49,28,20,9,53,89,48,100
52,66,29,45,,20,97,100,48,66
91,92,88,46,61,21,71,69,4,92
,9,40,31,67,72,49,90,73,43
12,11,6,75,,97,69,98,17,28
11,67,26,83,88,,99,43,55,95
64,18,84,56,89,20,15,82,55,74
35,61,47,75,84,73,35,,9,14
5,41,60,62,92,21,84,19,29,54
42,56,54,,94,49,,86,82,45
7,48,57,67,95,55,77,31,33,31
66,75,12,,46,82,45,79,,13
71,65,51,36,40,54,81,58,52,24
13,97,84,,76,18,46,9,24,50
34,96,39,5,32,97,94,,72,52
33,54,97,84,42,66,,37,74,88
44,78,33,61,73,100,91,100,81,98
31,94,45,93,80,78,70,85,30,
76,68,99,18,21,49,,9,,26
4,,70,43,86,21,,,1,58
,69,100,63,32,69,77,10,54,45
11,12,33,31,7,94,50,95,51,
14,9,7,83,42,,41,48,,17
,79,50,8,27,75,33,54,54,17
22,24,2,,18,42,22,13,40,
21,67,73,41,83,32,11,31,88,66
70,58,77,55,71,55,42,,5,20
,98,43,30,86,,,6,62,70
69,98,63,93,18,84,,20,67,43
37,99,65,31,,99,2,62,37,14
16,93,32,40,18,13,84,40,42,68
46,58,,51,,27,46,71,97,97
66,72,56,83,47,74,85,27,42,8
19,93,63,18,9,16,48,44,22,25
61,26,15,88,73,50,21,61,6,42
47,38,98,96,100,39,77,83,51,18
40,97,14,84,52,63,68,10,22,50
10,39,74,32,18,44,21,21,,
22,58,35,,39,42,29,94,95,56
68,43,,93,63,99,14,18,69,16
12,85,41,21,32,38,33,24,26,72
,13,48,96,11,79,83,37,,
,,81,45,17,45,20,16,81,58
92,77,10,12,8,45,90,38,39,44
25,15,56,55,,87,80,3,84,38
76,,60,6,34,40,99,62,90,29
,70,,88,88,9,53,59,57,59
19,79,28,5,52,14,21,91,39,69
70,92,37,85,84,62,34,88,58,82
40,55,49,8,85,33,22,,40,35
4,29,67,27,56,86,91,60,93,73
8,41,39,33,4,45,56,66,65,65
100,4,,30,66,86,,1,,20
38,31,52,47,66,59,39,88,44,30
27,40,92,31,18,,4,93,93,7
62,35,51,99,25,78,25,93,5,44
74,36,29,72,57,23,14,11,16,97
57,83,45,24,39,40,36,,75,44
,66,13,62,90,30,92,84,88,49
29,57,48,39,90,22,19,4,26,21
10,55,49,74,12,60,1,7,41,4
33,20,81,79,29,92,75,17,7,14
78,58,98,50,62,100,45,75,52,31
67,27,7,97,,89,92,77,62,11
87,40,47,,69,25,100,,3,
58,91,36,29,38,3,72,,77,100
80,35,62,,63,2,7,28,21,74
47,62,85,44,28,22,79,99,10,78
6,48,87,24,17,,30,12,18,96
72,96,74,46,,,21,39,15,39
82,63,77,92,34,34,19,,10,46
59,68,72,54,56,40,33,,17,35
,8,5,,47,7,9,27,51,12
6,93,1,62,47,18,12,40,89,49
63,2,14,,,79,91,49,50,47
80,21,23,83,94,30,21,6,27,89
44,,56,13,20,57,67,65,93,87
