col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
4,68,34,49,,28,52,21,41,63
44,8,12,52,,31,83,91,7,39
14,,6,58,88,36,39,26,58,3
26,62,,,38,56,81,86,79,63
89,48,38,48,20,10,45,23,69,
1,98,65,7,26,38,17,95,100,34
81,94,66,13,34,92,46,19,13,63
,99,2,62,61,17,,79,18,83
24,75,82,28,,15,74,43,17,84
53,95,63,88,79,,44,,31,50
81,4,92,28,,33,,90,59,73
50,18,44,90,19,,62,67,66,84
67,36,44,58,75,25,27,25,,49
30,91,57,81,,72,21,76,5,38
98,46,24,,78,29,35,78,3,
5,14,66,61,82,10,12,10,38,13
27,36,38,48,58,21,,93,62,94
32,,92,80,72,88,77,11,,12
42,53,92,35,8,78,80,70,,54
40,29,95,84,35,21,9,99,14,
53,,100,78,51,41,30,6,64,10
93,67,47,50,65,47,98,9,54,97
100,62,80,67,41,70,62,26,70,52
86,75,85,73,7,12,64,36,4,42
69,51,45,64,44,,83,7,60,69
78,27,32,83,8,55,62,5,9,91
82,17,8,27,51,,36,62,92,97
28,67,,23,,2,50,100,41,82
98,24,22,9,8,71,47,66,89,75
,30,40,57,,58,85,,41,62
11,87,66,2,53,90,42,85,13,
97,9,96,86,26,1,90,97,96,31
56,58,84,92,34,47,76,27,89,5
35,45,5,7,51,76,38,57,49,90
2,79,68,59,4,92,,19,,54
92,72,9,71,88,79,8,65,78,
91,60,18,100,74,87,96,21,38,47
,65,38,86,39,,49,,68,83
71,40,17,,61,78,55,96,75,82
7,40,55,7,99,67,3,,23,62
87,59,16,27,60,100,47,76,,44
95,,42,1,16,,56,,14,70
14,49,,79,4,54,96,76,,50
,80,,24,70,49,70,21,80,32
11,,33,66,100,28,93,31,12,20
75,80,,98,28,34,60,23,93,24
15,7,47,,65,65,30,89,,51
85,24,53,77,35,,49,24,1,74
,71,74,23,55,42,62,,,77
16,26,50,29,40,91,93,76,,64
60,8,24,13,98,39,56,29,2,95
33,16,61,75,4,51,18,88,24,56
37,56,,40,66,57,61,49,10,59
64,71,37,56,48,53,57,79,45,22
89,45,99,32,37,,41,6,70,
38,89,,59,19,72,91,14,55,
99,96,92,52,38,4,65,72,95,21
13,64,85,23,16,71,23,44,66,27
43,,76,94,89,87,6,12,6,69
7,96,6,2,,83,6,39,28,27
,,59,47,64,39,36,76,27,66
57,44,22,35,3,88,16,,91,33
23,50,89,12,,79,15,,41,
15,87,83,17,66,72,,21,13,64
72,,14,9,66,53,66,93,93,17
43,36,,,19,32,32,36,92,94
94,88,56,50,47,87,71,8,66,73
65,55,25,43,58,,78,87,33,12
75,91,70,62,,2,19,6,79,20
15,62,,20,78,86,77,20,32,46
76,78,36,71,18,,57,73,92,58
53,23,45,,,53,23,95,58,51
35,,76,93,38,84,75,45,77,63
13,90,18,99,37,85,36,34,67,81
3,91,84,10,54,45,20,69,24,100
2,77,4,,81,4,8,,8,39
82,27,,88,66,65,39,47,35,30
57,27,4,48,89,1,26,25,,39
61,64,,65,3,56,94,36,20,68
35,,66,55,31,75,96,,26,79
63,76,,97,14,44,82,58,15,68
96,44,13,89,,40,47,24,32,76
,,,35,70,4,,25,40,80
80,90,90,96,,25,95,,1,28
62,53,89,31,40,91,38,12,90,59
48,90,76,86,44,63,70,23,86,66
97,67,18,31,,,65,14,65,69
92,17,89,78,93,80,93,28,92,11
75,55,81,,33,86,41,30,37,2
35,31,11,14,100,21,12,7,56,19
47,83,88,97,,59,52,65,25,83
48,86,99,64,46,26,56,12,59,74
29,96,23,,51,54,69,12,62,49
33,9,60,46,13,67,63,43,51,60
16,87,40,70,89,78,44,26,10,66
57,13,4,53,57,73,,42,18,95
18,,,3,16,79,65,41,96,57
27,11,55,98,34,55,5,28,1,14
24,31,68,20,36,32,42,26,63,33
21,,12,35,77,68,51,61,13,41
14,46,50,5,47,71,5,3,55,54
27,,37,59,85,59,79,79,94,45
98,6,59,24,48,89,66,97,73,1
73,36,93,61,64,54,20,53,64,74
81,,94,,96,87,33,66,22,21
21,12,66,85,88,,79,95,66,68
23,42,88,35,95,79,3,93,90,
22,65,61,89,,90,57,24,60,9
56,42,52,42,97,,59,29,19,42
,10,12,91,34,,62,89,,69
13,38,62,47,93,,26,99,42,83
21,97,2,22,9,16,77,26,93,11
24,61,45,62,79,38,63,,89,
79,95,21,27,45,71,22,37,36,91
88,23,70,100,94,17,31,41,82,98
47,,92,66,58,75,55,3,6,15
19,50,60,31,,37,74,61,4,41
23,94,17,,96,10,43,52,57,80
,55,38,66,53,20,49,82,48,7
93,15,34,27,29,53,11,74,1,97
48,98,45,99,19,64,61,23,70,75
83,96,61,10,39,33,27,3,16,47
12,40,33,13,66,54,88,44,100,6
76,98,49,36,53,93,59,42,85,61
72,69,68,23,5,,83,70,68,21
,8,41,5,7,72,63,91,8,
70,49,19,99,71,21,70,,7,90
11,92,98,82,4,83,33,60,71,99
58,19,70,19,78,46,82,19,44,31
43,7,23,42,99,8,91,41,35,81
38,36,98,36,59,95,52,70,,55
100,66,,54,15,11,91,54,62,31
,89,44,87,25,60,34,32,66,40
90,11,69,49,63,18,36,82,19,60
76,59,25,34,78,22,71,89,,62
88,47,49,34,,92,93,73,53,1
,56,4,13,79,53,56,97,71,100
5,89,44,54,6,58,,81,8,
35,,2,70,90,72,21,37,78,82
22,100,54,33,42,2,53,32,26,61
77,60,32,19,,21,70,47,97,37
,41,25,97,48,2,32,77,29,84
,10,31,74,82,,31,53,75,67
12,56,55,38,80,51,51,75,83,60
28,34,58,,41,29,85,6,28,89
78,12,42,15,80,25,82,48,76,51
85,73,87,51,52,63,60,66,34,
96,71,58,35,98,19,69,5,96,60
,9,3,46,76,67,51,89,82,
94,28,98,47,44,1,76,94,15,
,93,22,28,38,2,19,89,74,97
68,77,69,3,14,,36,40,,9
91,87,81,76,63,,62,51,93,87
90,26,35,25,72,46,70,69,57,75
48,,,,61,34,98,8,88,81
44,95,94,56,89,50,59,85,23,89
9,,83,30,64,3,53,21,69,75
51,85,74,12,39,74,43,39,21,96
95,62,95,11,87,38,51,79,31,24
14,,,74,24,77,46,15,36,28
20,3,76,24,77,84,52,47,58,82
57,,,47,8,82,31,55,76,81
99,21,70,94,41,50,84,52,78,25
65,67,90,63,47,4,80,18,40,67
92,28,25,47,94,94,51,24,40,9
42,56,31,51,23,,45,,96,51
99,76,59,88,55,,46,9,77,14
44,17,60,13,77,,65,69,67,72
85,22,54,11,,80,36,74,47,90
9,20,60,53,88,92,35,57,10,36
71,55,96,,58,28,15,19,86,20
37,9,6,53,,7,73,15,36,5
13,51,23,25,45,71,8,69,80,28
25,98,36,99,38,41,30,100,43,41
22,44,85,4,,,72,50,11,57
76,22,44,,45,,83,52,89,27
100,61,21,23,58,1,14,67,31,39
66,81,46,45,38,100,6,78,16,66
,12,78,53,55,77,100,31,3,49
1,94,,35,64,31,79,64,97,39
14,24,31,85,,14,73,,41,
11,70,76,22,98,94,11,95,69,63
10,16,90,14,47,4,49,86,47,45
,49,26,,62,29,48,10,15,61
55,10,68,93,93,75,76,60,89,47
68,43,64,,44,49,68,72,93,73
55,22,95,84,,47,,44,38,91
69,90,5,13,35,99,93,61,27,49
44,13,91,5,54,40,40,94,65,77
,48,48,76,64,81,59,4,58,
72,31,60,,14,5,21,98,76,97
,20,72,14,20,19,35,11,77,37
45,83,29,24,71,28,24,29,61,95
63,61,52,97,9,23,88,54,28,87
24,26,34,29,98,82,92,76,61,33
15,20,86,57,1,14,,77,90,7
7,,84,94,76,42,,73,62,79
28,75,,21,,43,61,66,,40
69,28,32,3,62,43,92,62,64,75
5,59,13,68,56,24,7,95,95,22
73,,97,28,95,30,76,41,84,42
76,34,31,76,13,27,71,17,51,66
62,19,10,37,44,63,96,71,61,81
37,63,60,59,28,95,42,72,9,90
59,36,,76,27,,66,88,36,40
78,4,17,,12,88,76,76,54,28
3,62,60,48,23,33,71,82,28,14
,70,94,6,12,25,69,24,55,84
17,25,6,77,95,5,75,64,60,85
61,94,58,,81,59,89,77,91,66
10,10,2,8,43,52,49,,53,16
75,33,3,91,70,48,79,1,17,21
46,30,58,42,85,79,23,60,53,48
50,31,35,50,55,74,98,35,39,69
100,77,66,15,80,56,42,43,50,15
75,2,75,34,78,11,85,,16,48
79,88,13,74,59,69,42,,91,12
23,13,31,43,19,97,100,12,45,
17,21,5,44,61,83,10,,52,8
34,49,12,36,56,50,37,13,,20
62,59,50,5,13,80,18,77,88,42
27,66,9,47,58,32,42,16,84,87
27,,49,,24,,48,99,13,62
69,,13,33,,,69,81,60,5
94,16,,29,59,85,57,24,100,78
75,,57,23,68,12,87,91,87,76
32,57,7,78,89,11,3,26,30,100
18,,19,28,57,8,66,36,13,35
26,70,100,51,32,32,19,30,75,86
60,81,24,100,99,3,97,13,28,15
,22,12,40,79,2,38,13,35,82
76,39,78,95,,5,7,83,2,11
76,95,48,97,97,77,51,30,21,98
19,13,74,58,18,51,93,72,44,94
95,66,48,8,49,21,16,87,46,73
74,19,97,55,74,83,86,32,24,
,57,2,1,59,15,16,25,44,75
3,37,63,67,2,37,19,35,,74
23,74,79,83,,81,3,18,28,5
10,1,53,,94,29,36,22,,85
81,80,31,,46,22,35,25,84,
44,4,100,59,60,20,11,26,14,89
21,23,92,72,26,,21,16,63,16
2,,94,52,48,86,78,,98,75
8,59,18,62,19,,7,89,19,23
79,33,69,71,40,52,39,16,84,28
69,1,48,80,46,63,,18,29,75
49,68,56,39,82,46,30,,12,46
25,78,42,60,4,64,7,,54,99
35,,,56,54,28,75,14,63,57
88,63,57,,8,66,77,16,,19
21,99,70,2,27,83,30,68,72,37
33,51,69,14,100,21,40,61,61,18
98,,79,49,,88,81,18,55,81
,33,100,88,75,22,83,51,52,52
,,58,47,,78,21,1,29,69
2,4,24,74,44,77,84,6,28,54
,8,95,100,37,42,19,62,28,12
34,91,79,63,100,47,7,38,53,80
88,22,45,95,20,90,91,54,76,66
36,46,60,86,100,91,8,38,91,76
78,13,73,40,79,60,13,60,100,14
95,31,21,78,,22,39,92,15,27
27,41,89,7,13,79,58,84,47,31
39,35,73,52,68,13,72,74,71,38
97,,59,36,89,34,93,70,12,31
89,51,11,49,31,53,85,57,74,84
,27,84,22,69,48,90,44,73,98
,87,58,88,48,59,43,56,65,13
51,33,33,55,66,7,,94,61,21
29,31,44,67,94,79,33,96,23,35
6,73,68,35,90,66,,77,5,75
78,,97,39,50,81,59,56,34,15
64,87,75,20,97,,1,8,3,4
5,81,33,16,,18,41,14,42,71
96,76,57,45,93,12,36,30,35,69
90,82,34,9,83,34,82,36,92,70
2,41,2,24,4,25,92,21,64,86
58,62,78,63,,12,65,30,21,65
77,68,,85,3,88,41,36,28,20
45,93,36,72,35,47,7,17,33,62
32,23,34,57,54,8,29,92,62,95
64,,43,8,85,73,60,15,30,84
6,,54,99,13,,1,61,42,31
73,19,17,39,15,87,61,53,,98
1,87,13,74,77,43,18,17,19,72
,66,22,53,54,,80,23,20,
63,48,70,46,29,59,,2,30,78
84,41,86,13,38,48,66,69,,
72,62,93,32,42,81,57,11,65,7
,48,10,22,10,25,65,57,84,25
72,,86,42,48,91,54,39,32,11
14,1,70,89,55,57,15,99,29,65
9,45,1,25,43,94,81,52,64,58
12,6,35,7,61,30,87,94,91,4
25,94,3,,46,93,27,,,42
,67,77,58,51,83,84,,99,8
36,2,23,39,42,9,40,95,34,96
35,15,62,74,2,,8,2,91,
7,100,40,,72,27,13,,84,94
15,53,,,19,58,62,76,,48
64,97,,3,,90,90,31,70,49
,13,58,17,82,29,72,,30,
26,,82,95,73,94,27,,61,16
97,62,46,84,39,98,46,7,5,74
91,31,74,66,20,96,63,68,94,23
99,36,3,51,20,16,,6,54,90
35,71,50,87,52,75,68,91,87,62
13,60,52,6,55,24,74,86,35,34
77,44,33,16,,73,18,12,30,57
76,63,95,89,9,64,31,92,60,74
97,41,62,17,11,10,69,38,52,4
3,32,50,41,95,,33,53,60,
69,26,97,66,66,43,10,19,94,99
46,25,98,9,14,58,73,99,16,60
30,,92,88,96,35,55,22,52,49
54,8,36,12,71,,59,67,38,83
30,42,50,72,28,99,,35,19,86
10,83,73,10,,70,88,84,,74
58,80,5,51,35,,94,75,97,12
33,99,60,69,75,49,51,,33,79
73,66,,,67,78,28,23,43,77
99,59,8,77,98,14,95,,80,81
58,6,,86,,63,14,65,,76
97,97,39,,82,59,42,55,97,27
31,100,,48,82,,26,,98,57
61,16,43,34,92,97,8,66,71,55
50,38,74,21,,25,71,68,26,59
87,2,54,11,19,12,35,2,39,95
50,5,73,68,97,17,44,47,57,25
38,,22,87,2,15,83,77,92,29
79,71,32,90,67,63,97,89,99,1
22,49,80,67,74,2,20,34,,
64,94,61,93,27,36,13,98,,14
36,,72,14,76,59,71,12,52,88
84,94,99,35,13,96,11,,94,92
18,9,86,86,,78,95,30,21,92
86,95,53,58,59,29,21,88,33,80
92,71,95,99,54,91,19,2,33,
95,43,14,54,,13,64,27,42,48
18,85,12,18,61,39,82,47,68,59
41,32,,84,48,59,89,72,2,84
90,,77,71,2,71,15,,3,27
16,31,75,16,43,91,31,9,46,61
8,29,39,42,16,84,34,9,76,8
68,100,35,91,17,67,,,,40
65,87,18,100,19,5,15,87,98,34
91,52,15,,81,1,89,38,58,34
66,11,58,85,39,33,99,100,85,
46,67,74,31,,80,29,7,74,25
46,59,31,31,9,51,98,58,74,82
56,44,96,44,57,74,47,85,31,22
29,56,2,25,43,64,79,65,45,76
93,,79,29,11,34,63,99,52,16
75,57,,28,93,35,79,82,88,54
22,28,90,71,83,6,21,40,4,14
38,24,21,46,,49,93,81,73,65
43,86,80,36,28,3,96,21,78,40
54,11,75,68,77,28,61,2,37,100
6,8,59,85,40,30,45,,91,1
49,86,80,19,32,51,38,91,83,6
35,58,91,,,6,90,47,53,27
68,,5,78,48,14,30,39,31,61
,72,70,,22,59,29,8,37,
95,33,19,73,70,18,99,89,,57
,91,4,84,26,83,31,,99,9
,2,59,28,75,56,68,29,72,
37,72,20,,33,82,10,65,,58
96,51,17,,27,89,98,5,68,94
90,,37,,25,35,25,42,37,26
37,2,46,8,92,6,50,94,75,59
88,10,45,97,15,91,9,35,83,16
32,92,39,85,12,68,2,62,17,17
83,,34,52,44,,54,87,14,13
66,39,81,56,49,91,46,4,6,53
49,75,82,12,57,76,84,,26,55
16,15,48,98,63,83,10,60,65,36
19,9,80,5,52,,2,75,76,
38,81,88,52,46,82,62,54,7,69
59,80,51,13,22,97,78,,86,25
1,33,35,46,84,88,53,22,,44
88,58,4,78,12,71,72,41,50,68
49,72,23,6,99,94,19,,92,53
22,76,73,,63,32,53,,16,47
3,84,72,12,55,62,95,74,31,86
22,40,5,39,74,16,7,54,,86
10,61,3,80,71,20,72,39,38,13
61,9,40,38,67,99,70,3,76,21
19,65,83,98,64,25,47,,4,95
62,99,38,61,32,49,29,36,94,78
5,22,22,85,12,41,85,47,48,52
56,10,18,22,41,83,,44,41,53
83,50,74,8,25,3,3,85,41,64
26,78,96,59,70,97,98,52,79,14
13,64,2,24,85,60,6,78,35,97
92,95,38,84,,9,,19,50,73
83,27,27,15,32,23,71,54,54,100
55,38,95,76,11,89,64,14,54,3
1,88,81,,38,,100,45,48,3
54,44,2,63,28,17,49,24,27,22
89,55,,39,,78,64,95,54,15
12,2,82,3,15,41,44,87,16,8
4,30,86,,11,,14,59,1,83
61,70,,62,10,52,78,43,56,
,82,97,,62,64,69,56,80,50
45,,82,66,85,40,59,81,32,4
8,46,83,81,41,48,80,2,48,53
90,26,82,87,14,23,66,36,87,63
39,40,67,43,31,89,42,,50,22
44,24,17,1,57,31,37,17,37,12
100,4,69,,97,92,8,1,18,37
4,15,96,49,,50,,19,49,61
30,4,2,71,29,11,74,75,31,5
45,34,43,,7,13,69,29,25,95
,47,40,,3,56,26,32,54,77
18,2,81,86,6,100,59,49,5,17
36,42,46,97,96,51,35,93,68,39
27,2,95,16,78,23,63,,86,47
19,56,59,35,3,12,54,55,43,10
71,56,77,44,72,31,91,20,80,23
43,92,63,7,53,19,88,7,22,77
25,51,25,81,89,6,1,34,54,42
65,29,28,33,15,95,100,41,23,38
21,79,62,15,67,65,45,53,39,35
83,6,99,20,17,9,38,70,6,91
,35,73,87,63,26,83,81,19,63
53,16,56,4,62,,94,72,16,81
59,28,43,,6,71,75,39,97,97
70,91,62,9,62,28,81,61,38,87
73,14,10,69,35,94,16,7,53,5
16,23,92,,24,28,67,89,54,36
66,32,86,14,24,95,23,45,49,84
71,97,72,94,,95,,8,84,37
51,13,76,35,6,40,13,74,44,17
56,86,87,,41,4,51,78,,66
87,78,,58,91,43,94,12,74,3
54,41,62,87,40,11,83,,55,61
40,94,37,,20,92,92,,18,82
38,,70,11,80,69,47,,6,77
81,98,97,17,52,84,84,23,93,5
51,,95,51,9,100,9,44,21,14
57,,72,83,15,69,35,57,26,58
4,86,36,99,8,34,13,23,45,19
47,60,26,40,88,73,31,38,11,17
97,63,60,79,33,,31,70,29,79
82,1,23,74,14,76,73,58,70,71
84,47,2,78,9,29,27,49,50,
,97,28,98,71,85,67,84,94,11
12,6,99,27,82,48,27,30,41,86
14,23,83,11,39,3,5,39,,23
10,23,42,10,88,76,24,67,99,30
,15,41,,25,70,22,24,56,4
16,83,23,27,28,36,13,71,72,90
15,73,17,99,85,59,,82,69,92
54,96,94,4,15,58,22,62,57,28
28,41,89,10,76,29,39,9,,7
86,17,34,36,15,21,75,71,77,46
98,21,9,98,20,,34,35,82,87
77,18,27,80,,3,13,100,,34
79,24,14,98,62,26,87,,39,78
64,23,71,10,92,54,89,16,69,42
10,93,54,15,34,84,99,67,25,10
7,92,62,64,12,49,30,68,78,99
80,44,12,58,,65,73,75,22,59
30,27,10,38,86,10,77,,16,68
87,54,29,23,89,,44,16,95,86
19,,62,43,88,96,36,72,7,62
58,35,64,63,67,76,35,19,57,12
51,74,19,29,,92,38,,36,34
15,10,72,72,88,81,85,15,93,71
17,17,,89,,,6,42,8,91
29,8,91,7,52,25,57,51,37,80
70,42,78,42,58,1,90,96,79,
36,91,60,28,80,,63,28,44,65
,85,48,54,34,,53,4,84,47
83,,96,61,79,,13,18,17,
15,27,98,81,21,45,15,57,45,97
15,72,60,,68,40,,80,76,51
33,55,41,47,57,26,87,39,57,17
,61,81,50,63,100,85,13,88,29
95,12,23,95,66,,20,99,10,
43,56,14,72,55,,100,69,38,
84,74,48,56,87,89,5,4,,
72,,52,34,38,46,26,94,10,
,74,96,92,13,93,89,79,40,76
66,66,100,,77,12,91,80,78,81
82,65,39,16,39,78,89,14,5,73
42,38,,47,100,28,85,90,53,17
15,2,56,23,,16,7,13,67,57
75,68,10,25,19,16,48,98,64,56
58,89,69,79,31,78,,63,91,62
90,7,,52,,12,3,8,29,61
72,3,14,,14,87,75,59,56,67
76,30,,60,87,11,,23,22,65
38,75,64,,19,27,51,,,57
12,84,92,10,64,58,89,77,14,12
28,,88,35,47,94,12,55,94,5
77,66,49,,26,26,61,31,21,30
40,89,36,51,31,21,93,84,35,73
89,,79,1,54,19,35,43,51,87
2,62,77,68,38,21,12,63,7,1
6,31,80,84,77,38,31,53,14,72
7,9,76,67,77,73,77,24,97,10
42,16,55,31,94,3,50,84,31,45
93,62,89,99,97,51,96,85,67,1
57,23,90,53,26,79,75,88,64,86
42,25,16,68,37,31,85,85,16,100
71,82,14,59,72,40,26,50,79,5
19,55,52,63,45,91,11,24,2,23
,,70,,54,82,58,82,13,7
33,59,65,8,37,97,20,78,54,3
,62,64,90,96,75,37,40,73,42
49,,77,,,41,61,100,68,63
22,17,82,32,71,40,,47,4,75
62,50,68,77,68,,63,27,65,
22,46,36,50,91,36,,64,12,100
57,6,15,66,35,68,58,14,4,65
34,88,89,51,,52,39,14,68,
,62,1,10,94,83,33,98,,4
26,73,56,25,60,40,60,36,85,79
39,31,36,39,44,22,67,32,17,86
97,,43,61,,34,,67,93,80
46,19,,50,97,1,10,91,43,28
21,,84,43,41,22,87,100,47,52
37,50,12,92,25,7,81,59,15,8
61,69,4,1,5,67,17,63,98,22
51,12,66,33,32,85,68,70,9,
90,50,25,9,12,86,87,49,96,75
29,23,,75,3,58,66,9,90,1
53,5,32,22,28,66,53,,32,74
9,18,97,42,,75,5,46,,33
52,30,96,44,83,39,23,27,42,47
68,8,34,8,45,62,49,40,66,71
1,,92,52,9,41,24,94,38,25
37,49,97,48,29,91,87,65,1,30
82,25,86,38,35,58,37,2,5,41
24,71,3,99,19,77,35,52,40,41
58,6,100,31,70,68,7,45,86,37
,71,36,39,54,31,,64,51,70
83,36,80,42,6,84,36,68,75,39
80,43,73,38,36,,73,27,54,12
1,60,75,73,30,23,91,8,,20
23,,69,91,8,36,80,96,,75
39,49,11,89,13,58,41,88,47,97
90,69,85,,,26,2,23,45,77
40,4,39,62,,24,83,,20,42
91,16,91,92,,85,53,47,,74
74,10,16,20,86,22,95,60,2,83
3,2,22,45,81,7,12,29,77,29
18,55,90,71,51,23,97,34,42,63
48,55,56,63,98,61,92,80,9,76
73,70,96,1,75,52,98,12,76,99
72,77,73,55,64,28,82,52,48,61
18,79,45,90,42,31,22,52,,33
59,,81,77,69,47,81,76,21,87
72,63,86,38,4,88,,1,7,
15,,73,65,60,50,83,51,95,54
4,28,90,16,38,60,53,,42,61
58,47,43,42,72,98,65,48,48,34
87,,96,45,51,55,40,12,64,42
70,87,64,37,30,39,27,,1,
5,48,,42,80,53,14,97,74,85
,83,20,66,,66,,50,25,32
43,91,47,70,6,83,41,58,64,84
,65,93,99,80,64,9,46,14,
44,98,71,37,58,,20,39,90,
84,50,82,24,12,48,30,,19,44
63,3,79,13,99,17,70,,51,54
,17,71,37,1,79,,71,60,21
27,88,41,49,93,72,61,18,,12
22,70,43,60,19,,10,,7,79
82,83,70,,23,54,10,97,58,32
28,68,44,75,28,90,24,17,56,14
,,,10,49,13,93,82,8,67
3,59,9,92,91,83,78,20,20,14
75,86,1,65,87,,,56,23,5
40,,,54,99,96,63,8,54,
93,78,77,71,14,100,45,44,68,30
91,85,36,48,58,26,19,14,83,77
94,15,52,34,28,38,4,23,49,
24,99,62,47,95,12,68,52,61,83
8,66,28,38,18,42,56,90,98,83
81,69,30,19,21,62,99,50,46,1
